Abdera	Aibdéire	Άβδηρα
Medusa	Meadúsa	Μέδουσα
Megara	Meigeara	Μέγαρα
Menander	Meineándar	Μένανδρος
Menelaus	Meinealás	Μενέλαος
Menes	Míníos	Μήνης
Minos	Míonós	Μίνως
Minotaur	Míonótár	Μινώταυρος
Moira	Móire	μοῖρα
Cyllene	Cilléiné	Κυλλήνη
mu	mú	μι
Narcissus	Nairciseas	Νάρκισσος
Nemea	Neimé	Νεμέα
Nereids	Néiréidí	Νηρηΐδες
Nereus	Néiréas	Νηρεύς
Nicippe	Nicipé	Νικίππη
Nike	Nicé	Νίκη
nu	nú	νι
obol	óbal	ὀβολός
Odysseus	Odaiséas	Ὀδυσσεύς
Oechalia	An Éacail	Οἰχαλία
Oedipus	Éideapús	Οἰδίπους
Oeneus	Éinéas	Οἰνεύς
Olympus	Oilimpeas	Ὄλυμπος
omega	óimige	ὦμέγα
omicron	oimeacrón	όμικρον
Omphale	Omfailé	Ὀμφάλη
Orpheus	Oirféas	Ὀρφεύς
Orthrus	Ortras	Ὄρθρος
Pandora	Pandóra	Πανδώρα
Pantheon	Paintéón	πάνθεον
Parnassus	Parnásas	Παρνασσός
Parthenon	Partanón	Παρθενών
Pegasus	Peigeasas	Πήγασος
Persephone	Peirsifiné	Περσεφόνη
Perseus	Peirséas	Περσεύς
Phaeton	Faetón	Φαέθων
Pheidas	Féadas	Φειδίας
phi	fí	ϕεῖ
Pindar	Piondar	Πίνδαρος
pi	pí	πι
Piraeus	An Phioraes	Πειραιεύς
Plato	Platón	Πλάτων
Plutarch	Plútarc	Πλούταρχος
Pluto	Plútón	Πλούτων
Polydeuces	Polaideoicéis	Πολυδεύκης
Polyphemus	Polaiféamas	Πολύφημος
Poseidon	Poiséadón	Ποσειδῶν
Priam	Priam	Πρίαμος
Prometheus	Proiméitéas	Προμηθεύς
Proteus	Próitéas	Πρωτεύς
prytany	pritine	πρυτάνεις
psi	sí	ψι
Psyche	Sícé	Ψυχή
Ptolemy	Tolamaes	Πτολεμαῖος
Pyrrhus	Piorras	Πύρρος
Pythagoras	Píotágarás	Πυθαγόρας
Pythia	Pitia	Πυθία
rho	ró	ρο
Styx	An Stiocs	Στύξ
Samosata	Samasata	Σαμόσατα
Sappho	Safó	Σαπφώ
Scylla	Sciolla	Σκύλλα
sigma	sigme	σίγμα
Sisyphus	Siosafas	Σίσυφος
Socrates	Sócraitéas	Σωκράτης
Sophocles	Sofaicléas	Σοφοκλῆς
Statius	Stáitias	Στάτιος
Stentor	Steintear	Στέντωρ
Sthenelus	Steinileas	Σθένελος
Strabo	Strabó	Στράβων
Strymon	An Striomóin	Στρυμών
Stymphalos	Stimfealas	Στύμφαλος
Tantalus	Tantalas	Τάνταλος
Tartessus	Tairtéiseas	Ταρτησσός
tau	tó	ταυ
Thales	Tailéas	Θαλῆς
Themistocles	Teimisticléas	Θεμιστοκλῆς
Theocritus	Teocratas	Θεόκριτος
Thermodon	Tearmódón	Θερμώδων
Theseus	Téiséas	Θησεύς
theta	téite	θέτα
Tholos	Tólas	θόλος
Thucydides	Túicídidéas	Θουκυδίδης
Titan	Tíotán	Τῑτᾱ́ν
Triton	Tríotón	Τρίτων
Troy	Traí	Τροία
upsilon	upsalón	ύψιλον
Xenophon	Xeineafón	Ξενοφῶν
xi	xí	ξι
zeta	zéite	ζῆτα
Zeus	Séas	Ζεύς
Zoroaster	Sóróstar	Ζωροάστρης
