147	Na Líbeartaí Thuaidh	North Liberties
148	Conallaigh Íochtaracha	Connello Lower
149	An Déis Bheag	Smallcounty
150	Seanaid	Shanid
151	Cois Sléibhe	Coshlea
152	Cill Mocheallóg	Kilmallock
153	Uí Chuanach	Coonagh
154	Sruthail	Shrule
155	Gránard	Granard
156	Ráth Claon	Rathcline
157	Maigh Dumha	Moydow
158	Ardach	Ardagh
159	An Longfort	Longford
161	Fir Arda	Ferrard
162	Baile Átha Fhirdhia	Ardee
163	Lú	Louth
164	Damhliag Íochtarach	Duleek Lower
165	Dún Dealgan Íochtarach	Dundalk Lower
166	Dún Dealgan Uachtarach	Dundalk Upper
167	Droichead Átha	Drogheda
168	Tír Amhlaidh	Tirawley
169	Tír Fhiachrach	Tireragh
170	Gaileanga	Gallen
171	Ráth an Dúin	Rathdown
172	An Ros	Ross
173	Cill Mheáin	Kilmaine
174	Ceara	Carra
175	Clann Mhuiris	Clanmorris
176	Iorras	Erris
177	Coistealaigh	Costello
178	Buiríos Umhaill	Burrishoole
179	Muraisc	Murrisk
180	Damhliag Uachtarach	Duleek Upper
181	An Uaimh Íochtarach	Navan Lower
182	An Scrín	Skreen
183	An Uaimh Uachtarach	Navan Upper
184	Baile Shláine Íochtarach	Slane Lower
185	Baile Shláine Uachtarach	Slane Upper
186	Ceanannas Uachtarach	Kells Upper
187	Déise Uachtarach	Deece Upper
188	Ráth Tó	Ratoath
189	Dún Búinne	Dunboyne
190	Déise Íochtarach	Deece Lower
191	Machaire Gaileang	Morgallion
192	Ceanannas Íochtarach	Kells Lower
193	Damhliag Íochtarach	Duleek Lower
194	Baile Fhobhair	Fore
195	Maigh Fionnráithe Uachtarach	Moyfenrath Upper
196	Luíne	Lune
197	Maigh Fionnráithe Íochtarach	Moyfenrath Lower
198	Fearnaigh	Farney
199	Críoch Mhúrn	Cremorne
200	Muineachán	Monaghan
201	Dartraí	Dartree
202	An Triúcha	Trough
203	Baile an Bhriotaigh	Ballybritt
204	An Eaglais	Eglish
205	Garraí an Chaisleáin	Garrycastle
206	Baile Átha Buí	Ballyboy
207	Cluain Leisc	Clonlisk
208	An Daingean Uachtarach	Philipstown Upper
209	Baile an Bhairínigh	Warrenstown
210	Baile an Chúlaígh	Coolestown
211	An Daingean Íochtarach	Philipstown Lower
212	Baile Mhic Comhainn	Ballycowan
213	Géisill	Geashill
214	Cill Chuairsí	Kilcoursey
215	Ros Comáin	Roscommon
216	Baile Átha Luain Theas	Athlone South
217	Maigh Charnáin	Moycarn
218	Baile Átha Luain Thuaidh	Athlone North
219	Mainistir na Búille	Boyle
220	Baile an Tobair Thuaidh	Ballintober North
221	Dún Gar	Frenchpark
222	Coistealaigh	Costello
223	An Caisleán Riabhach	Castlereagh
224	Béal Átha Mó	Ballymoe
225	Baile an Tobair Theas	Ballintober South
226	Cairbre	Carbury
227	Tír Oirill	Tirerrill
228	Cúil Ó bhFinn	Coolavin
229	An Corann	Corran
230	Tír Fhiachrach	Tireragh
231	Luíne	Leyny
232	Urumhain Íochtarach	Ormond Lower
233	Urumhain Uachtarach	Ormond Upper
234	Coill na Manach Uachtarach	Kilnamanagh Upper
235	Uaithne agus Ara	Owney and Arra
236	Uí Chairín	Ikerrin
237	Éile Uí Fhógarta	Eliogarty
238	Uíbh Eoghain agus Uíbh Fhathaidh Thiar	Iffa and Offa West
239	Clann Liam	Clanwilliam
240	An Trian Meánach	Middlethird
241	Uíbh Eoghain agus Uíbh Fhathaidh Thoir	Iffa and Offa East
242	Uachtar Tíre	Upperthird
243	Sliabh Ardach	Slievardagh
244	Coill na Manach Íochtarach	Kilnamanagh Lower
245	Gleann na hUidhre	Glenahiry
246	An Ghailltír	Gaultiere
247	Na Déise lasmuigh den Drom	Decies-without-Drum
248	Cathair Phort Láirge	Waterford City
249	Uachtar Tíre	Upperthird
250	Gleann na hUidhre	Glenahiry
251	Na Déise laistigh den Drom	Decies-within-Drum
252	Cois Abha Móire agus Cois Bhríde	Coshmore and Coshbride
253	Cill Choilchín	Kilculliheen
254	An Trian Meánach	Middlethird
255	Corca Raoi	Corkaree
256	Breámhaine	Brawny
257	Cill Chainnigh	Kilkenny West
258	Cluain Lonáin	Clonlonan
259	Maigh Chaisil	Moycashel
260	Ráth Conarta	Rathconrath
261	Uí Mhac gCuais	Moygoish
262	Baile Fhobhair	Fore
263	Dealbhna	Delvin
264	Fir Bhile	Farbill
265	Fir Thulach	Fartullagh
266	Maigh Asail agus Machaire Ó dTiarnáin	Moyashel and Magheradernon
267	Beanntraí	Bantry
268	An Bealach Caoin Theas	Ballaghkeen South
269	Fotharta	Forth
270	Guaire	Gorey
271	Scairbh Bhailis	Scarawalsh
272	Síol Maoluír Thiar	Shelmaliere West
273	An Bealach Caoin Thuaidh	Ballaghkeen North
274	Síol Maoluír Thoir	Shelmaliere East
275	Síol Bhroin	Shelburne
276	Uí Bhairrche	Bargy
277	Uí Dheá	Ida
278	Síol Éalaigh	Shillelagh
279	An tInbhear Mór	Arklow
280	Baile na Corra Theas	Ballinacor South
281	Baile an Talbóidigh Uachtarach	Talbotstown Upper
282	Baile an Talbóidigh Íochtarach	Talbotstown Lower
283	Ráth an Dúin	Rathdown
284	An Caisleán Nua	Newcastle
285	Baile na Corra Thuaidh	Ballinacor North
286	Cill Chainnigh	Kilkenny
287	An Srath Bán Uachtarach	Strabane Upper
288	Cúil Raithin	Coleraine
289	Tír Mhic Caoirthinn	Tirkeeran
290	Ard Mhacha	Armagh
291	Na Feá Íochtaracha	Fews Lower
292	Na Feá Uachtaracha	Fews Upper
293	Uí Nialláin Thoir	Oneilland East
294	Uí Nialláin Thiar	Oneilland West
295	Na hOirthir Íochtaracha	Orior Lower
